8.47485,8.81229,,5327.64591,5327.91009,,Latitudes,,difference,squared difference
3.34887,3.34887,,5323.24587,5323.24254,,3.34887,3.34887,0,0
3.44322,3.34887,,5323.33356,5323.24587,,3.44322,3.34887,0.0943500003138902,0.008901923
3.47319,3.44322,,5323.35687,5323.33356,,3.47319,3.44322,0.0299699997192699,0.000898201
3.57531,3.47319,,5323.46898,5323.35687,,3.57531,3.47319,0.10212000016807,0.010428494
3.66633,3.57531,,5323.55889,5323.46898,,3.66633,3.57531,0.0910200000383501,0.00828464
3.71628,3.66633,,5323.59885,5323.55889,,3.71628,3.66633,0.0499499997950199,0.002495002
3.75402,3.71628,,5323.63104,5323.59885,,3.75402,3.71628,0.0377399999678101,0.001424308
3.77178,3.75402,,5323.6488,5323.63104,,3.77178,3.75402,0.0177600002864202,0.000315418
3.75846,3.77178,,5323.6266,5323.6488,,3.75846,3.77178,-0.0133200003134002,0.000177422
3.7629,3.75846,,5323.62993,5323.6266,,3.7629,3.75846,0.00443999997301026,1.97136E-05
3.76623,3.7629,,5323.62993,5323.62993,,3.76623,3.7629,0.00333000027552988,1.10889E-05
3.78843,3.76623,,5323.6599,5323.62993,,3.78843,3.76623,0.0221999998650797,0.00049284
3.79953,3.78843,,5323.66101,5323.6599,,3.79953,3.78843,0.0111000001297201,0.00012321
3.78177,3.79953,,5323.63215,5323.66101,,3.78177,3.79953,-0.0177599998920699,0.000315418
3.77733,3.78177,,5323.62438,5323.63215,,3.77733,3.78177,-0.00444000036736991,1.97136E-05
3.81174,3.77733,,5323.66767,5323.62438,,3.81174,3.77733,0.0344100000866399,0.001184048
3.82284,3.81174,,5323.67988,5323.66767,,3.82284,3.81174,0.0111000001297201,0.00012321
3.82617,3.82284,,5323.67766,5323.67988,,3.82617,3.82284,0.00332999988116978,1.10889E-05
3.8406,3.82617,,5323.68987,5323.67766,,3.8406,3.82617,0.0144300000108903,0.000208225
3.84171,3.8406,,5323.6932,5323.68987,,3.84171,3.8406,0.00111000009183959,1.2321E-06
3.84726,3.84171,,5323.70097,5323.6932,,3.84726,3.84171,0.00555000006486006,3.08025E-05
3.84282,3.84726,,5323.6932,5323.70097,,3.84282,3.84726,-0.00443999997300981,1.97136E-05
3.84282,3.84282,,5323.6932,5323.6932,,3.84282,3.84282,0,0
3.84504,3.84282,,5323.6932,5323.6932,,3.84504,3.84282,0.00221999978932974,4.9284E-06
3.84726,3.84504,,5323.69653,5323.6932,,3.84726,3.84504,0.00222000018368007,4.9284E-06
3.85281,3.84726,,5323.70097,5323.69653,,3.85281,3.84726,0.00555000006486006,3.08025E-05
3.86169,3.85281,,5323.70541,5323.70097,,3.86169,3.85281,0.00887999994603028,7.88544E-05
3.86724,3.86169,,5323.70874,5323.70541,,3.86724,3.86169,0.00555000006485962,3.08025E-05
3.87168,3.86724,,5323.71429,5323.70874,,3.87168,3.86724,0.00443999957866037,1.97136E-05
3.87723,3.87168,,5323.71651,5323.71429,,3.87723,3.87168,0.00555000006485962,3.08025E-05
3.88056,3.87723,,5323.71651,5323.71651,,3.88056,3.87723,0.00333000027553032,1.10889E-05
